date,Gross_Capital_Formation_const_2015usd,Gross_Capital_Formation_annual_growth,Gross_Fixed_Capital_Formation_const_2015usd,Gross_Fixed_Capital_Formation_annual_growth,household_consu,Country_ISO
1999,,,,,,TLS
1998,,,,,,TLS
1997,,,,,,TLS
1996,,,,,,TLS
1995,,,,,,TLS
1994,,,,,,TLS
1993,,,,,,TLS
1992,,,,,,TLS
1991,,,,,,TLS
1990,,,,,,TLS
1989,,,,,,TLS
1988,,,,,,TLS
1987,,,,,,TLS
1986,,,,,,TLS
1985,,,,,,TLS
1984,,,,,,TLS
1983,,,,,,TLS
1982,,,,,,TLS
1981,,,,,,TLS
1980,,,,,,TLS
1979,,,,,,TLS
1978,,,,,,TLS
1977,,,,,,TLS
1976,,,,,,TLS
1975,,,,,,TLS
1974,,,,,,TLS
1973,,,,,,TLS
1972,,,,,,TLS
1971,,,,,,TLS
1970,,,,,,TLS
1969,,,,,,TLS
1968,,,,,,TLS
1967,,,,,,TLS
1966,,,,,,TLS
1965,,,,,,TLS
1964,,,,,,TLS
1963,,,,,,TLS
1962,,,,,,TLS
1961,,,,,,TLS
1960,,,,,,TLS
2021,,,,,,TGO
2020,1830045174.52151,14.997032913507,1660937685.77746,23.6126040888975,5444010417.20959,TGO
2019,1591384688.94058,20.3840820455724,1444330904.63013,20.5431001328682,5343084956.58897,TGO
2018,1321922850.51287,6.33976914488612,1199769006.07454,18.1099126250776,5387762997.87648,TGO
2017,1243112394.49069,-9.77314032687757,1027192290.47723,16.8566992336762,4887862311.75839,TGO
2016,1377763117.31816,2.26766439506541,1315034994.37166,22.5184290753723,4694398770.44699,TGO
2015,1347212851.16651,24.5753470304609,1307661874.75654,31.2772956460069,2999954161.93556,TGO
2014,1081444188.8226,-1.13683946408848,1146988353.39132,29.9952234085739,3366123397.06167,TGO
2013,1093879846.60856,35.6549118487243,1008463391.43382,27.3013271715991,3247546667.37936,TGO
2012,806369508.999719,-2.20716317365661,889617463.171567,25.5087881825013,2919907167.92644,TGO
2011,824569094.392504,23.0555332298375,894368797.302418,27.8227576331956,3028961783.65304,TGO
2010,670078843.876457,6.77821115180592,661878796.447287,21.1887949516701,2763382682.46017,TGO
2009,627542676.214916,12.6988558131454,603267188.406778,20.2027632023548,2774334064.64985,TGO
2008,556831452.890153,10.1019622066161,517901688.986022,17.9887476726301,2791464125.56054,TGO
2007,505741625.063147,-10.6156957015294,469403873.512008,17.6593043401841,2255098209.75832,TGO
2006,565805852.640955,-10.9199659316168,530142944.818086,17.9623093653543,1924385022.47976,TGO
2005,635165734.452469,-24.013399313811,486131573.522727,16.0606053048762,1849358872.23418,TGO
